Date,Year,Month,Day,Hour,PPT(mm),T(C),Ref z
2017-05-02 20:00:00,2017,5,2,20,0.0907583380619359,-11.066262735050145,4047.1531549675274
2017-05-02 21:00:00,2017,5,2,21,0.0907583380619359,-11.457886430512985,4047.1531549675274
2017-05-02 22:00:00,2017,5,2,22,0.0907583380619359,-11.220538736293065,4047.1531549675274
2017-05-02 23:00:00,2017,5,2,23,0.09162270318633509,-11.44305219962422,4047.1531549675274
2017-05-03 00:00:00,2017,5,3,0,0.09335143343513347,-11.098898043005363,4047.1531549675274
2017-05-03 01:00:00,2017,5,3,1,0.003457460497596765,-9.520535876443034,4047.1531549675274
2017-05-03 02:00:00,2017,5,3,2,0.006914920995196999,-7.047669587289477,4047.1531549675274
2017-05-03 03:00:00,2017,5,3,3,0.009508016368394573,-5.100676783141921,4047.1531549675274
2017-05-03 04:00:00,2017,5,3,4,0.011236746617192955,-4.0429961207744896,4047.1531549675274
2017-05-03 05:00:00,2017,5,3,5,0.012965476865991338,-3.3962236540252775,4047.1531549675274
2017-05-03 06:00:00,2017,5,3,6,0.03716770034917563,-3.398448788658584,4047.1531549675274
2017-05-03 07:00:00,2017,5,3,7,0.7027288461367089,-3.8775944463649807,4047.1531549675274
2017-05-03 08:00:00,2017,5,3,8,1.271481097991512,-4.286277507349894,4047.1531549675274
2017-05-03 09:00:00,2017,5,3,9,1.8151667612387317,-4.149802583173425,4047.1531549675274
2017-05-03 10:00:00,2017,5,3,10,2.9673654720631277,-3.7655960031549967,4047.1531549675274
2017-05-03 11:00:00,2017,5,3,11,4.20600069532746,-4.513982951492096,4047.1531549675274
2017-05-03 12:00:00,2017,5,3,12,5.959797532733836,-5.520485517293366,4047.1531549675274
2017-05-03 13:00:00,2017,5,3,13,7.4525561025715925,-6.160582580142659,4047.1531549675274
2017-05-03 14:00:00,2017,5,3,14,8.630685767127972,-6.31634200447445,4047.1531549675274
2017-05-03 15:00:00,2017,5,3,15,9.817459082928341,-6.888201605235508,4047.1531549675274
2017-05-03 16:00:00,2017,5,3,16,10.540932692050635,-7.069179222078162,4047.1531549675274
2017-05-03 17:00:00,2017,5,3,17,11.398382895454837,-7.5193981295515755,4047.1531549675274
2017-05-03 18:00:00,2017,5,3,18,12.255833098859036,-7.936981729069657,4047.1531549675274
