Date,"30.8,79.3","30.8,79.4","30.8,79.5","30.7,79.3","30.7,79.4","30.7,79.5","30.6,79.3","30.6,79.4","30.6,79.5"
2017-07-30 14:00:00,1.2593777045914294,3.2811147911048124,5.446365950609788,3.6754301567032144,4.682815348673671,7.423516140659672,8.173133337450963,8.832183400800943,11.136768611754121
2017-07-30 15:00:00,1.0977502049115628,3.006626709751856,5.191384636459588,3.520769359595704,4.490534357675131,7.229841809146706,8.035192626517244,8.730469543243771,10.980714474132128
2017-07-30 16:00:00,0.8427688907613629,2.680585029363044,5.006070348033461,3.2811147911048124,4.275959918444926,7.0974744602709166,7.844304976033243,8.554908638419022,10.892934021719782
2017-07-30 17:00:00,0.7703151840082683,2.569117788204494,4.879276361215602,3.201694381779305,4.199326190148383,7.012480688887479,7.785784674424974,8.508928401441153,10.8079402503364
2017-07-30 18:00:00,0.682534731595922,2.4478971634445656,4.741335650281883,3.1278473345117845,4.122692461851898,6.907980150301341,7.76906458825124,8.449014759318402,10.729913181525376
2017-07-30 19:00:00,1.423791885300318,3.2769347695613646,5.283345110415382,3.636416622297702,4.6674886030143625,7.257708619436357,7.845698316547725,8.5646620220204,10.798186866735023
2017-07-30 20:00:00,0.8190821020151589,2.595591257979663,4.706502137419818,3.190547657663444,4.146379250598102,6.813232995316582,7.643663941947807,8.265093811406814,10.44149169502765
2017-07-30 21:00:00,0.8260488045875718,2.566331107175529,4.606181620377129,3.1654675284028144,4.1003990136201764,6.708732456730445,7.5670302136513214,8.181493380537859,10.417804906281447
2017-07-30 22:00:00,0.7549884383489598,2.524530891741108,4.5797081506019595,3.1069472267945457,4.062778819729147,6.657178857694589,7.461136334550702,8.085352885038617,10.331417794383526
2017-07-30 23:00:00,0.61147436535731,2.3740501161770453,4.503074422305474,3.0149867528387517,3.972211686287835,6.608411939687755,7.429089502717602,8.08117286349517,10.101516609494013
2017-07-31 00:00:00,0.7549884383489598,2.5746911502624243,4.688388710731601,3.1445674206855756,4.144985910083619,6.7783994824545175,7.4513829509493235,8.205180169284063,10.221343893739459
2017-07-31 01:00:00,1.1242236746866752,3.145960761200058,5.21367808469131,3.412088799466119,4.491927698189613,7.1657481454805065,7.764884566707792,8.513108422984601,10.590579130077174
2017-07-31 02:00:00,1.8557274447897498,3.788290738376247,5.726427394020618,4.058598798185756,5.046477222953456,7.661777368636081,8.270667173464744,8.989630878937419,11.316509538122318
2017-07-31 03:00:00,2.4423238013866353,4.366527051886237,6.368757371196807,4.536514594653056,5.577339958971095,8.319434091471578,8.716536138098945,9.55950714936057,11.730331670923476
2017-07-31 04:00:00,2.507810805567317,4.819362719092908,7.1420613567343025,4.583888172145407,5.72364071299171,8.886523680865764,8.878163637778869,9.520493614955058,12.58723608732987
2017-07-31 05:00:00,2.58305119334932,5.067377330670695,7.5433434249051174,4.848622869896985,6.019028902061848,9.41041971431099,9.491233464150923,10.070863118175453,12.87426423331317
2017-07-31 06:00:00,2.7572187576595866,5.369732222313246,7.904218618155937,5.074344033243108,6.2308166602631445,9.693267838750785,9.72252798955492,10.306337665122896,12.966224707268964
2017-07-31 07:00:00,2.9146662357960054,5.5717665969131644,7.861025062207034,5.187204614916141,6.296303664443769,9.428533140999264,9.569260532961891,10.190690402420898,12.792057142958697
2017-07-31 08:00:00,2.578871171805872,5.174664550285797,7.908398639699385,5.280558429386417,6.31302375061756,9.69605451977975,10.016522838110632,10.565499000816544,13.217025999875716
2017-07-31 09:00:00,2.403310266981123,4.969843494656914,7.730051053845727,4.9670568136279485,6.056649095952878,9.620814131997747,9.718347968011471,10.341171177984904,13.1348189095213
