5.5.2	2017	230	14	4263	31	21	121.9999955	1.5	1.305059906	0.5478029419	1.256227735	1.260527409	6
5.5.2	2017	246	16	4262	31	19	105.6586421	1.1875	0.9889713506	0.4151237908	0.9519664452	0.9552247285	7
5.5.2	2017	262	16	4262	31	10.5	86.56279294	0.65625	0.8102330349	0.3400978285	0.779916083	0.7825854917	8
5.5.2	2017	280	18	4262	31	12.8	96.54133964	0.7111111111	0.803229193	0.3371579442	0.7731743079	0.7758206416	9
6.1.1	2017	168	12	4321	44	12	56.21218749	1	0.5905424442	0.2074678654	0.5165417273	0.5442213109	2
6.1.2	2017	218	19	4318	17.5	46.5	152.9199593	2.447368421	1.596732896	0.8962451102	1.704065976	1.6498142	5
6.1.2	2017	230	12	4318	17.5	29	101.4185189	2.416666667	1.676709086	0.9411356923	1.789418201	1.732449094	6
6.1.2	2017	248	18	4317	17.5	21	112.7603763	1.166666667	1.242812783	0.6975899863	1.326355199	1.284128474	7
6.1.2	2017	261	13	4317	17.5	12	66.2389469	0.9230769231	1.010861758	0.5673960307	1.078812325	1.044466539	8
6.1.2	2017	279	18	4317	17.5	25.5	92.53121435	1.416666667	1.019852716	0.5724426494	1.088407659	1.05375639	9
6.2.3	2017	199	33	4319	12.5	77	243.8968739	2.333333333	1.730128136	1.152223042	1.893555184	1.838897623	4
6.2.3	2017	218	19	4319	12.5	38	152.8510568	2	1.883218968	1.254177793	2.0611069	2.001612951	5
6.2.3	2017	230	12	4319	12.5	24	101.3717322	2	1.977523242	1.316982135	2.164319109	2.101845935	6
6.2.3	2017	248	18	4318	12.5	25	112.6867167	1.388888889	1.465501256	0.9759880096	1.60393178	1.557634213	7
6.2.3	2017	261	13	4318	12.5	16	66.17799672	1.230769231	1.191670639	0.7936235128	1.304235258	1.266588445	8
6.2.3	2017	279	18	4319	12.5	20	92.35271723	1.111111111	1.201055698	0.7998737323	1.314506824	1.276563522	9
6.3.2	2017	168	12	4317	11	40	56.42742593	3.333333333	1.172189489	0.8330490688	1.285773749	1.254563018	2
6.3.3	2017	218	19	4315	9	51	153.1266667	2.684210526	2.217408068	1.745054494	2.420795858	2.385409645	5
6.3.3	2017	230	12	4315	9	26	101.5588792	2.166666667	2.328547218	1.832518716	2.542129048	2.504969235	6
6.3.3	2017	248	18	4314	9	41.5	112.9813548	2.305555556	1.726961551	1.359083183	1.885364012	1.857804525	7
6.3.3	2017	261	13	4314	9	22.5	66.42179743	1.730769231	1.405774519	1.106315602	1.534716673	1.512282807	8
6.3.3	2017	279	18	4314	9	21	92.79896003	1.166666667	1.418466226	1.116303714	1.548572505	1.525936099	9
6.4.1	2017	168	12	4336	32	25	55.40504337	2.083333333	0.6807470753	0.2811721812	0.650215845	0.6547995734	2
6.4.1	2017	199	31	4336	32	35.5	231.5272928	1.14516129	1.101179787	0.4548254906	1.05179232	1.059206981	4
6.4.1	2017	218	19	4333	32	23	151.8864225	1.210526316	1.178645176	0.4868213863	1.125783418	1.133719683	5
6.4.1	2017	230	12	4333	32	16	100.7167179	1.333333333	1.237479604	0.5111220483	1.181979146	1.190311566	6
6.4.1	2017	248	18	4331	32	19	111.7301256	1.055555556	0.9151989494	0.3780089465	0.8741526476	0.8803150294	7
6.4.1	2017	261	13	4332	32	9	65.32469424	0.6923076923	0.7408866416	0.3060119104	0.7076581761	0.712646847	8
6.5.3	2017	199	33	4326	20	47	242.9228534	1.424242424	1.367591166	0.7172634706	1.434103779	1.393224214	4
6.5.3	2017	218	19	4326	20	31.5	152.3687396	1.657894737	1.489855426	0.7813876693	1.562314345	1.517780099	5
6.5.3	2017	230	12	4326	20	19.5	101.044225	1.625	1.564343436	0.8204545553	1.640425069	1.593664253	6
6.5.3	2017	248	18	4326	20	20	112.0974405	1.111111111	1.15697785	0.606802653	1.213247312	1.178663328	7
